Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Procurement,Cloud Kitchen,Tier1,5L-20L,Weekly,Biodegradable,Experience,"Failures, Cost, Inventory",Medium,Wastage,Weekly,20K-1L,,Premium,Cost,"Supplier Issues, Complaints",10K-50K,10-20%,Low,Finance,Supplier Analytics,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,<5L,Daily,"Biodegradable, Paper",No Process,Cost,High,"Storage, High Cost, Wastage",Weekly,5K-20K,Low,"Premium, Biodegradable, Plastic",Branding,"Cost Increase, Sustainability",<10K,10-20%,High,Finance,Performance,Unlikely,Maybe
Owner,Cloud Kitchen,Tier3,5L-20L,Daily,"Paper, Plastic, Flexible",No Process,"Failures, Supplier",Medium,"Storage, Supplier Issues, Breakage",Weekly,5K-20K,High,"Recyclable, Biodegradable",Branding,Sustainability,10K-50K,30%+,High,Multiple,"Sustainability, Forecasting",Likely,No
Finance,Cloud Kitchen,Tier2,20L-1Cr,Daily,Plastic,ERP,"Failures, Supplier",High,"Supplier Issues, Sustainability, Storage",Monthly,5K-20K,Low,Biodegradable,Quality,"Cost Increase, Regulation, Supplier Issues",2L-10L,10-20%,Low,Multiple,"Forecasting, Sustainability",Very Likely,Yes
Procurement,FMCG,Tier1,1Cr+,Weekly,"Plastic, Flexible, Biodegradable",No Process,"Failures, Cost, Inventory",High,"Supplier Issues, Breakage, High Cost",Daily,20K-1L,High,"Paper, Biodegradable",Branding,Complaints,10L+,10-20%,High,Multiple,"Supplier Analytics, Cost Dashboard, Forecasting",Very Likely,Maybe
Owner,FMCG,Tier3,5L-20L,Bulk,"Glass, Plastic, Paper",No Process,Inventory,Medium,High Cost,Daily,1L+,Medium,"Premium, Recyclable, Plastic",Cost,"Cost Increase, Complaints, Supplier Issues",50K-2L,10-20%,Medium,Finance,"Sustainability, Cost Dashboard, Performance",Likely,Maybe
Owner,Cloud Kitchen,Tier1,5L-20L,Bulk,Flexible,Vendor,Supplier,High,"Supplier Issues, Storage",Weekly,20K-1L,Medium,"Biodegradable, Paper",Sustainability,"Sustainability, Cost Increase",10K-50K,5-10%,High,Owner,"Sustainability, Supplier Analytics",Very Likely,Yes
Finance,Cloud Kitchen,Tier1,20L-1Cr,Bulk,"Paper, Biodegradable",Excel,,Low,High Cost,Weekly,5K-20K,High,"Premium, Plastic",Sustainability,"Cost Increase, Regulation, Complaints",50K-2L,<5%,Medium,Finance,"Supplier Analytics, Sustainability, Cost Dashboard",Not Sure,Maybe
Operations,Restaurant,Tier2,5L-20L,Monthly,"Flexible, Plastic, Paper",Excel,Failures,High,"High Cost, Supplier Issues",Daily,1L+,Medium,"Paper, Biodegradable",Cost,Complaints,10K-50K,30%+,High,Operations,Cost Dashboard,Likely,Yes
Procurement,Restaurant,Tier3,<5L,Daily,Plastic,Vendor,Inventory,High,"Wastage, Sustainability",Monthly,5K-20K,High,"Paper, Recyclable, Biodegradable",Quality,"Supplier Issues, Regulation, Complaints",<10K,<5%,Low,Multiple,"Cost Dashboard, Sustainability, Supplier Analytics",Not Sure,No
Owner,Supplier,Tier2,20L-1Cr,Bulk,"Paper, Plastic, Flexible",ERP,"Cost, Failures",Medium,Sustainability,Rare,<5K,Medium,Biodegradable,Sustainability,Regulation,50K-2L,20-30%,Medium,Operations,"Cost Dashboard, Supplier Analytics",Likely,No
Operations,Restaurant,Tier2,5L-20L,Bulk,Flexible,Vendor,"Failures, Cost, Supplier",High,"Storage, Sustainability, Supplier Issues",Daily,20K-1L,High,"Biodegradable, Premium",Branding,"Complaints, Cost Increase, Regulation",50K-2L,<5%,Low,Finance,"Performance, Sustainability, Cost Dashboard",Likely,Maybe
Procurement,Manufacturer,Tier1,20L-1Cr,Bulk,Biodegradable,No Process,"Cost, Failures",High,Breakage,Weekly,20K-1L,High,"Recyclable, Plastic",Sustainability,"Regulation, Sustainability, Cost Increase",2L-10L,5-10%,Medium,Finance,Forecasting,Very Likely,Yes
Procurement,FMCG,Tier2,<5L,Monthly,Flexible,Vendor,,Low,"High Cost, Supplier Issues",Weekly,5K-20K,High,"Plastic, Recyclable, Premium",Sustainability,"Complaints, Regulation, Supplier Issues",<10K,10-20%,Medium,Owner,"Supplier Analytics, Performance",Likely,No
Operations,Cloud Kitchen,Tier3,20L-1Cr,Weekly,Glass,Vendor,"Inventory, Failures",High,Sustainability,Weekly,5K-20K,High,Paper,Sustainability,"Regulation, Complaints, Supplier Issues",2L-10L,20-30%,Medium,Finance,Supplier Analytics,Likely,Maybe
Owner,FMCG,Tier1,<5L,Daily,"Paper, Glass",Vendor,"Failures, Supplier, Inventory",High,High Cost,Daily,20K-1L,High,"Paper, Biodegradable, Plastic",Quality,Regulation,<10K,30%+,High,Finance,Sustainability,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,5L-20L,Daily,"Plastic, Flexible, Glass",No Process,,Low,"High Cost, Sustainability, Supplier Issues",Weekly,5K-20K,Low,Biodegradable,Cost,"Supplier Issues, Complaints",50K-2L,10-20%,High,Finance,Forecasting,Likely,Maybe
Procurement,FMCG,Tier3,20L-1Cr,Weekly,"Plastic, Biodegradable, Paper",ERP,,Low,"High Cost, Breakage",Weekly,5K-20K,Low,"Paper, Biodegradable, Premium",Sustainability,"Sustainability, Cost Increase",50K-2L,10-20%,High,Multiple,"Cost Dashboard, Sustainability, Performance",Not Sure,Maybe
Operations,Cloud Kitchen,Tier3,5L-20L,Bulk,Biodegradable,ERP,"Failures, Inventory",Medium,"Sustainability, Supplier Issues, High Cost",Monthly,<5K,,"Biodegradable, Paper",Sustainability,Cost Increase,10K-50K,20-30%,Low,Multiple,"Supplier Analytics, Cost Dashboard",Unlikely,No
Owner,Supplier,Tier3,20L-1Cr,Daily,"Flexible, Glass",Experience,"Cost, Inventory",Medium,"Storage, Wastage, High Cost",Daily,20K-1L,Medium,Recyclable,Cost,"Regulation, Complaints, Sustainability",50K-2L,5-10%,Medium,Operations,"Performance, Sustainability, Supplier Analytics",Very Likely,Yes
Finance,Restaurant,Tier1,5L-20L,Weekly,Paper,No Process,"Failures, Supplier",Medium,High Cost,Weekly,20K-1L,Medium,Recyclable,Quality,"Supplier Issues, Sustainability",10K-50K,30%+,Low,Owner,"Performance, Cost Dashboard, Supplier Analytics",Very Likely,Yes
Operations,FMCG,Tier2,<5L,Bulk,"Flexible, Paper, Biodegradable",No Process,Cost,Medium,"Storage, Breakage",Daily,1L+,Medium,"Plastic, Biodegradable, Paper",Branding,"Cost Increase, Sustainability",<10K,20-30%,Medium,Multiple,Cost Dashboard,Likely,Maybe
Operations,FMCG,Tier1,<5L,Bulk,Plastic,Excel,"Failures, Cost",High,Supplier Issues,Monthly,<5K,High,Premium,Sustainability,"Complaints, Sustainability, Supplier Issues",<10K,20-30%,High,Owner,"Forecasting, Sustainability, Cost Dashboard",Unlikely,No
Owner,Restaurant,Tier1,<5L,Daily,"Plastic, Flexible",Vendor,"Inventory, Cost",High,"Storage, Wastage, Breakage",Weekly,20K-1L,High,"Paper, Biodegradable",Cost,Cost Increase,<10K,5-10%,Low,Operations,"Performance, Cost Dashboard, Sustainability",Very Likely,Maybe
Owner,Restaurant,Tier2,<5L,Weekly,"Biodegradable, Plastic, Paper",Vendor,Inventory,Medium,"Supplier Issues, Sustainability, Storage",Weekly,5K-20K,Low,"Paper, Premium",Cost,"Supplier Issues, Complaints",<10K,5-10%,High,Multiple,"Forecasting, Supplier Analytics",Not Sure,No
Operations,Cloud Kitchen,Tier2,<5L,Bulk,"Flexible, Paper, Plastic",No Process,"Inventory, Supplier",Medium,Supplier Issues,Weekly,5K-20K,Medium,"Recyclable, Paper, Biodegradable",Quality,"Supplier Issues, Sustainability, Complaints",<10K,5-10%,High,Finance,"Cost Dashboard, Sustainability",Likely,No
Owner,Supplier,Tier3,5L-20L,Monthly,"Glass, Paper, Plastic",ERP,,Low,Supplier Issues,Weekly,5K-20K,Low,"Paper, Biodegradable",Sustainability,"Complaints, Supplier Issues",10K-50K,5-10%,High,Operations,"Cost Dashboard, Sustainability, Forecasting",Likely,Maybe
Finance,Restaurant,Tier1,20L-1Cr,Bulk,"Biodegradable, Plastic, Glass",Experience,Failures,Medium,"Storage, Supplier Issues",Monthly,<5K,Medium,"Premium, Paper, Plastic",Sustainability,"Complaints, Sustainability",2L-10L,5-10%,Low,Operations,Forecasting,Very Likely,Yes
Owner,FMCG,Tier1,5L-20L,Daily,"Flexible, Paper, Biodegradable",Experience,,Medium,"Wastage, High Cost",Monthly,<5K,Medium,Plastic,Sustainability,"Regulation, Supplier Issues",50K-2L,10-20%,Medium,Multiple,"Forecasting, Sustainability, Cost Dashboard",Unlikely,No
Finance,Cloud Kitchen,Tier2,20L-1Cr,Daily,"Biodegradable, Plastic",ERP,Cost,High,Storage,Monthly,<5K,Medium,"Plastic, Recyclable",Sustainability,"Sustainability, Supplier Issues, Complaints",2L-10L,10-20%,Low,Multiple,"Performance, Cost Dashboard",Very Likely,Maybe
Owner,Restaurant,Tier1,1Cr+,Bulk,"Plastic, Biodegradable, Flexible",Experience,"Failures, Supplier",High,"Wastage, Sustainability",Monthly,<5K,High,Biodegradable,Sustainability,"Cost Increase, Sustainability",2L-10L,10-20%,High,Finance,Cost Dashboard,Likely,No
Procurement,Cloud Kitchen,Tier1,<5L,Daily,Plastic,Experience,"Failures, Supplier, Cost",Medium,Supplier Issues,Weekly,20K-1L,Medium,"Plastic, Paper",Sustainability,"Cost Increase, Sustainability, Complaints",<10K,5-10%,High,Owner,"Performance, Forecasting, Sustainability",Very Likely,Yes
Owner,Supplier,Tier1,<5L,Weekly,"Flexible, Paper",ERP,"Cost, Inventory, Supplier",High,Supplier Issues,Rare,<5K,,Plastic,Sustainability,Sustainability,<10K,5-10%,Medium,Operations,Performance,Unlikely,No
Owner,Manufacturer,Tier2,<5L,Bulk,Biodegradable,ERP,Supplier,High,"Storage, High Cost",Daily,20K-1L,Low,Recyclable,Sustainability,"Supplier Issues, Sustainability, Cost Increase",<10K,<5%,High,Multiple,"Sustainability, Performance",Very Likely,Yes
Operations,Supplier,Tier2,20L-1Cr,Monthly,Paper,Excel,"Cost, Inventory, Failures",Medium,"Storage, Wastage, Supplier Issues",Rare,<5K,Medium,Premium,Sustainability,Sustainability,2L-10L,10-20%,High,Multiple,"Cost Dashboard, Forecasting, Supplier Analytics",Likely,Maybe
Operations,Cloud Kitchen,Tier3,5L-20L,Bulk,"Paper, Glass",Excel,Cost,High,"Supplier Issues, Storage, Breakage",Monthly,<5K,Medium,Plastic,Cost,Cost Increase,50K-2L,10-20%,High,Multiple,"Cost Dashboard, Sustainability, Supplier Analytics",Not Sure,Maybe
Finance,Cloud Kitchen,Tier3,5L-20L,Daily,"Glass, Paper",Excel,"Inventory, Supplier, Cost",Medium,"Storage, Supplier Issues, High Cost",Weekly,20K-1L,Medium,"Recyclable, Paper",Branding,Sustainability,10K-50K,<5%,Low,Owner,Cost Dashboard,Likely,Maybe
Operations,Restaurant,Tier2,20L-1Cr,Bulk,"Glass, Plastic",ERP,,Medium,Storage,Weekly,5K-20K,Low,Premium,Branding,"Sustainability, Supplier Issues",50K-2L,<5%,Medium,Multiple,"Sustainability, Forecasting",Unlikely,No
Owner,Cloud Kitchen,Tier2,5L-20L,Daily,"Glass, Plastic, Biodegradable",Vendor,"Cost, Inventory, Failures",Medium,"Breakage, Wastage, High Cost",Daily,20K-1L,Medium,Biodegradable,Sustainability,"Supplier Issues, Sustainability, Complaints",10K-50K,20-30%,High,Multiple,Forecasting,Very Likely,Yes
Owner,Restaurant,Tier2,20L-1Cr,Bulk,Biodegradable,Experience,,Low,"Supplier Issues, Breakage",Weekly,5K-20K,Low,"Plastic, Biodegradable, Paper",Quality,"Complaints, Sustainability, Supplier Issues",50K-2L,5-10%,Medium,Finance,Performance,Likely,No
Operations,Cloud Kitchen,Tier1,1Cr+,Daily,Biodegradable,No Process,"Cost, Inventory, Supplier",Medium,"Wastage, Storage",Weekly,5K-20K,Medium,"Biodegradable, Recyclable",Cost,"Cost Increase, Complaints",10L+,10-20%,Medium,Multiple,"Performance, Cost Dashboard",Likely,No
Owner,Cloud Kitchen,Tier2,<5L,Daily,"Glass, Plastic, Flexible",Vendor,"Failures, Inventory, Supplier",High,"Supplier Issues, Sustainability, Storage",Monthly,<5K,High,"Biodegradable, Paper",Sustainability,"Supplier Issues, Complaints",<10K,5-10%,High,Multiple,Supplier Analytics,Likely,No
Owner,Restaurant,Tier1,<5L,Bulk,"Biodegradable, Glass",ERP,"Supplier, Cost, Inventory",Medium,"Breakage, High Cost, Wastage",Monthly,5K-20K,Medium,"Paper, Biodegradable, Premium",Branding,Supplier Issues,<10K,10-20%,High,Operations,"Cost Dashboard, Supplier Analytics",Unlikely,No
Procurement,Supplier,Tier2,5L-20L,Weekly,Plastic,Experience,"Inventory, Failures, Cost",High,"Storage, Wastage, Breakage",Weekly,5K-20K,Medium,Recyclable,Sustainability,"Supplier Issues, Complaints, Sustainability",50K-2L,10-20%,High,Finance,"Sustainability, Cost Dashboard, Performance",Likely,No
Owner,Cloud Kitchen,Tier1,5L-20L,Daily,Paper,Excel,Supplier,High,Breakage,Weekly,5K-20K,Medium,"Plastic, Paper, Recyclable",Quality,"Cost Increase, Supplier Issues, Regulation",50K-2L,10-20%,Low,Multiple,"Forecasting, Sustainability",Not Sure,No
Operations,FMCG,Tier1,20L-1Cr,Bulk,Flexible,Excel,Cost,High,"Wastage, Supplier Issues, Sustainability",Monthly,5K-20K,Medium,"Biodegradable, Recyclable, Paper",Branding,"Cost Increase, Supplier Issues, Complaints",50K-2L,10-20%,Medium,Finance,Cost Dashboard,Likely,No
Operations,Cloud Kitchen,Tier2,20L-1Cr,Weekly,"Plastic, Flexible",Vendor,"Supplier, Cost",Medium,"Sustainability, Wastage",Monthly,<5K,Medium,Premium,Branding,"Complaints, Cost Increase",50K-2L,20-30%,Low,Owner,Sustainability,Likely,No
Owner,FMCG,Tier1,5L-20L,Monthly,"Paper, Glass",ERP,"Inventory, Cost",High,Supplier Issues,Daily,20K-1L,High,Plastic,Branding,Cost Increase,50K-2L,<5%,Medium,Operations,Cost Dashboard,Likely,No
Operations,Supplier,Tier1,5L-20L,Bulk,"Biodegradable, Plastic, Glass",Experience,,Medium,Sustainability,Monthly,<5K,High,Premium,Cost,Cost Increase,10K-50K,10-20%,Low,Multiple,"Supplier Analytics, Forecasting",Not Sure,No
Owner,FMCG,Tier2,5L-20L,Daily,"Flexible, Biodegradable, Paper",No Process,"Cost, Failures",Medium,"Storage, Breakage",Rare,<5K,Low,"Recyclable, Biodegradable, Premium",Quality,"Sustainability, Regulation",50K-2L,<5%,Low,Multiple,"Cost Dashboard, Supplier Analytics",Likely,No
Owner,Manufacturer,Tier1,<5L,Weekly,"Flexible, Plastic, Biodegradable",Experience,"Failures, Cost",High,"Breakage, Sustainability, High Cost",Weekly,5K-20K,Low,"Biodegradable, Premium, Plastic",Sustainability,Cost Increase,<10K,10-20%,High,Multiple,Cost Dashboard,Likely,Maybe
Owner,Restaurant,Tier1,20L-1Cr,Daily,Biodegradable,Excel,"Failures, Cost, Supplier",High,"Wastage, High Cost",Monthly,<5K,Medium,"Paper, Recyclable, Biodegradable",Sustainability,"Cost Increase, Sustainability, Supplier Issues",50K-2L,<5%,Medium,Multiple,Performance,Likely,Maybe
Finance,FMCG,Tier2,1Cr+,Daily,Biodegradable,No Process,,Medium,"Supplier Issues, Breakage, Wastage",Rare,5K-20K,Low,"Paper, Biodegradable",Quality,"Regulation, Complaints, Cost Increase",10L+,<5%,High,Owner,"Performance, Forecasting, Cost Dashboard",Likely,Maybe
Operations,Restaurant,Tier1,5L-20L,Bulk,"Flexible, Glass",Experience,"Cost, Inventory",Medium,Supplier Issues,Monthly,<5K,Medium,"Premium, Paper",Branding,"Complaints, Sustainability, Regulation",50K-2L,5-10%,Low,Operations,"Forecasting, Supplier Analytics",Not Sure,No
Owner,FMCG,Tier1,20L-1Cr,Monthly,"Flexible, Paper, Glass",Experience,,Low,Breakage,Daily,20K-1L,Medium,Plastic,Sustainability,"Sustainability, Supplier Issues, Complaints",50K-2L,30%+,Low,Finance,Supplier Analytics,Very Likely,Yes
Operations,Restaurant,Tier1,5L-20L,Monthly,"Paper, Biodegradable, Glass",ERP,,Medium,"High Cost, Storage, Wastage",Monthly,<5K,Medium,"Premium, Plastic",Quality,Complaints,10K-50K,10-20%,High,Operations,Supplier Analytics,Likely,No
Owner,Restaurant,Tier1,1Cr+,Weekly,Plastic,Experience,"Inventory, Failures, Cost",High,Storage,Weekly,20K-1L,Low,Biodegradable,Quality,"Supplier Issues, Sustainability",10L+,10-20%,Medium,Multiple,"Supplier Analytics, Sustainability, Forecasting",Very Likely,Yes
Procurement,Restaurant,Tier1,5L-20L,Weekly,Biodegradable,Vendor,"Cost, Inventory, Failures",High,"Sustainability, Breakage",Daily,20K-1L,Medium,"Biodegradable, Paper, Recyclable",Branding,Complaints,10K-50K,20-30%,Low,Finance,Supplier Analytics,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Daily,Paper,ERP,"Supplier, Inventory",Medium,Breakage,Weekly,20K-1L,,"Recyclable, Paper, Plastic",Cost,"Complaints, Regulation",2L-10L,30%+,High,Multiple,Sustainability,Very Likely,Yes
Procurement,Restaurant,Tier1,<5L,Monthly,Plastic,No Process,"Cost, Failures, Supplier",High,Wastage,Monthly,<5K,,"Premium, Paper, Recyclable",Sustainability,"Cost Increase, Sustainability, Complaints",<10K,10-20%,High,Multiple,Forecasting,Not Sure,Maybe
Finance,Cloud Kitchen,Tier3,5L-20L,Monthly,"Flexible, Glass, Biodegradable",Vendor,"Cost, Failures, Inventory",High,"High Cost, Supplier Issues, Storage",Daily,1L+,High,"Premium, Plastic, Paper",Cost,"Complaints, Supplier Issues, Regulation",50K-2L,10-20%,High,Operations,"Performance, Sustainability, Cost Dashboard",Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Bulk,"Biodegradable, Glass",No Process,Inventory,High,High Cost,Rare,<5K,Medium,Paper,Sustainability,"Cost Increase, Supplier Issues, Regulation",50K-2L,<5%,High,Owner,"Forecasting, Cost Dashboard",Not Sure,No
Owner,Supplier,Tier2,1Cr+,Bulk,Glass,Excel,,Low,"Storage, Breakage, Wastage",Weekly,20K-1L,Medium,Premium,Branding,"Supplier Issues, Sustainability, Regulation",10L+,10-20%,High,Finance,Sustainability,Likely,Yes
Operations,Restaurant,Tier1,20L-1Cr,Weekly,Biodegradable,No Process,"Inventory, Supplier, Failures",Medium,"Wastage, Breakage, Storage",Monthly,<5K,Medium,"Recyclable, Premium",Quality,"Regulation, Sustainability, Supplier Issues",50K-2L,20-30%,High,Finance,Performance,Not Sure,No
Owner,Cloud Kitchen,Tier3,<5L,Weekly,"Glass, Biodegradable, Plastic",Experience,"Failures, Supplier",Medium,Supplier Issues,Monthly,<5K,High,"Premium, Plastic",Sustainability,"Cost Increase, Regulation",<10K,20-30%,Low,Multiple,Performance,Not Sure,Maybe
Owner,Restaurant,Tier1,20L-1Cr,Daily,"Glass, Biodegradable, Flexible",No Process,"Cost, Inventory, Failures",Medium,"Storage, Sustainability, Wastage",Weekly,20K-1L,Low,"Biodegradable, Premium, Recyclable",Cost,"Regulation, Cost Increase, Sustainability",50K-2L,10-20%,Low,Finance,"Forecasting, Cost Dashboard",Very Likely,Yes
Procurement,Cloud Kitchen,Tier3,<5L,Monthly,Paper,ERP,,Low,Storage,Weekly,5K-20K,Low,"Paper, Recyclable, Biodegradable",Sustainability,"Sustainability, Complaints, Supplier Issues",<10K,5-10%,High,Finance,"Cost Dashboard, Performance",Likely,No
Procurement,FMCG,Tier2,<5L,Weekly,Plastic,Excel,"Inventory, Supplier",High,"High Cost, Storage, Supplier Issues",Rare,5K-20K,Medium,"Paper, Premium, Recyclable",Sustainability,"Regulation, Sustainability",<10K,5-10%,Medium,Finance,"Forecasting, Cost Dashboard",Not Sure,Maybe
Operations,FMCG,Tier2,20L-1Cr,Daily,"Biodegradable, Paper, Glass",ERP,"Failures, Cost",Medium,"Sustainability, Breakage",Daily,20K-1L,High,"Premium, Paper",Quality,"Sustainability, Complaints, Cost Increase",50K-2L,20-30%,High,Multiple,"Forecasting, Sustainability",Very Likely,Yes
Operations,Manufacturer,Tier2,5L-20L,Monthly,Glass,Experience,Inventory,Medium,"Breakage, Sustainability",Rare,<5K,,"Premium, Paper",Sustainability,"Supplier Issues, Cost Increase, Complaints",50K-2L,20-30%,High,Owner,Supplier Analytics,Not Sure,Maybe
Finance,FMCG,Tier2,20L-1Cr,Bulk,Paper,Excel,Cost,High,"Storage, Breakage",Monthly,5K-20K,High,Recyclable,Branding,Complaints,50K-2L,20-30%,High,Finance,Supplier Analytics,Likely,Maybe
Operations,FMCG,Tier1,20L-1Cr,Daily,"Paper, Plastic",Vendor,"Cost, Failures",High,"Breakage, Sustainability",Weekly,20K-1L,Low,"Biodegradable, Plastic, Recyclable",Quality,"Supplier Issues, Complaints",50K-2L,10-20%,High,Owner,"Performance, Sustainability",Very Likely,Yes
Owner,FMCG,Tier3,1Cr+,Bulk,"Plastic, Biodegradable, Paper",Excel,"Cost, Inventory",Medium,High Cost,Weekly,20K-1L,Medium,"Recyclable, Plastic, Premium",Quality,"Complaints, Cost Increase, Supplier Issues",10L+,5-10%,Low,Owner,Forecasting,Very Likely,Yes
Operations,FMCG,Tier2,20L-1Cr,Daily,"Plastic, Paper",Excel,"Cost, Supplier, Failures",Medium,"Storage, Breakage",Daily,1L+,Low,Premium,Cost,"Supplier Issues, Regulation",2L-10L,20-30%,Low,Operations,Cost Dashboard,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,<5L,Weekly,Biodegradable,ERP,Supplier,High,"Breakage, Supplier Issues",Weekly,20K-1L,,"Recyclable, Biodegradable, Paper",Quality,"Cost Increase, Supplier Issues",<10K,20-30%,High,Multiple,"Performance, Sustainability",Very Likely,Yes
Finance,Restaurant,Tier2,<5L,Daily,Flexible,ERP,"Cost, Failures",High,High Cost,Weekly,20K-1L,Medium,"Plastic, Paper",Cost,Supplier Issues,<10K,10-20%,High,Finance,"Performance, Sustainability, Cost Dashboard",Likely,Yes
Operations,Manufacturer,Tier1,5L-20L,Weekly,Plastic,ERP,Failures,Medium,Storage,Weekly,5K-20K,High,Biodegradable,Sustainability,Supplier Issues,10K-50K,5-10%,High,Owner,"Performance, Cost Dashboard",Likely,Maybe
Finance,Restaurant,Tier2,<5L,Monthly,Plastic,No Process,"Supplier, Inventory",High,"Supplier Issues, Wastage, Breakage",Monthly,<5K,Medium,"Premium, Plastic, Biodegradable",Cost,"Supplier Issues, Sustainability, Complaints",<10K,5-10%,Medium,Multiple,Forecasting,Not Sure,Maybe
Finance,Cloud Kitchen,Tier1,<5L,Monthly,Paper,Vendor,"Supplier, Failures",High,Breakage,Monthly,<5K,High,"Recyclable, Premium",Cost,Cost Increase,<10K,10-20%,Medium,Operations,"Supplier Analytics, Forecasting, Performance",Unlikely,Maybe
Owner,Restaurant,Tier1,<5L,Daily,"Plastic, Flexible",Experience,Cost,Medium,Storage,Monthly,<5K,Medium,"Recyclable, Biodegradable",Quality,"Cost Increase, Regulation, Supplier Issues",<10K,5-10%,High,Operations,Sustainability,Not Sure,Maybe
Finance,Manufacturer,Tier2,20L-1Cr,Daily,"Biodegradable, Flexible",No Process,"Inventory, Supplier",Medium,Storage,Daily,20K-1L,,"Plastic, Recyclable, Premium",Quality,Sustainability,2L-10L,10-20%,Low,Finance,"Cost Dashboard, Performance",Likely,No
